Country,Total_inventorie,Year,GreenInventory
Unspecified EU stocks,9457860000,2017,422100000
Austria,306660000,2018,4800000
Cyprus,14520000,2018,300000
Denmark,160200000,2018,5340000
Finland,219120000,2018,4980000
France,843120000,2018,27840000
Germany,5179440000,2018,211080000
Ireland,6540000,2018,180000
Italy,523440000,2018,25260000
Netherlands,1418460000,2018,42420000
Portugal,221460000,2018,7740000
Spain,865440000,2018,42900000
Sweden,156600000,2018,5220000
Japan,3369300000,2018,156180000
Norway,223200000,2018,7440000
Switzerland,398100000,2018,20280000
United Kingdom,186120000,2018,1860000
United States of America,8984400000,2018,367980000
Unspecified EU stocks,9457860000,2018,485520000
Austria,306660000,2019,4800000
Cyprus,14520000,2019,0
Denmark,160200000,2019,5340000
Finland,219120000,2019,4980000
France,843120000,2019,27120000
Germany,5179440000,2019,208740000
Ireland,6540000,2019,180000
Italy,523440000,2019,25680000
Netherlands,1418460000,2019,42420000
Portugal,221460000,2019,7740000
Spain,865440000,2019,40200000
Sweden,156600000,2019,5220000
Japan,3369300000,2019,176040000
Norway,223200000,2019,7440000
Switzerland,398100000,2019,22740000
United Kingdom,186120000,2019,2160000
United States of America,8984400000,2019,410100000
Unspecified EU stocks,9457860000,2019,536100000
