Country,Year,DomesticType,ProductionType,DomesticConsumption,Production,Export,Import,ImporterConsumption,GreenInventory,ReExport
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Burundi,1993,Arabica/Robusta,Arabica/Robusta,114600,23580000,25080000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
